url,file,title,title2
http://www.nyam.org/library/search-collections/archives/finding-aids/ARA-0003.xml,ARA-0003.xml,"Altschuller Papers, 1857-1984","Altschuller Papers, 1857-1984  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARA-0001.xml,ARA-0001.xml,"American Legion Caduceus Post No. 818 Records, 1919-1932","American Legion Caduceus Post No. 818 Records, 1919-1932  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARA-0002.xml,ARA-0002.xml,"American Ophthalmological Society Records, 1864-2012","American Ophthalmological Society Records, 1864-2012  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARB-0001.xml,ARB-0001.xml,"Brooklyn Academy of Pediatrics, Minutes, 1933-1956","Brooklyn Academy of Pediatrics, Minutes, 1933-1956  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARC-0003.xml,ARC-0003.xml,"Records of City Hospital at Elmhurst (New York, N.Y.), 1953-1963","Records of City Hospital at Elmhurst (New York, N.Y.), 1953-1963  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARC-0002.xml,ARC-0002.xml,"Records of City Hospital (Welfare Island, N.Y.), 1877-1961","Records of City Hospital (Welfare Island, N.Y.), 1877-1961  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARC-0001.xml,ARC-0001.xml,"Clinical Research Society Records, 1920-1966","Clinical Research Society Records, 1920-1966  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARE-0001.xml,ARE-0001.xml,"Eastern Association of Graduates of the Angle School of Orthodontia Records, 1909-1939","Eastern Association of Graduates of the Angle School of Orthodontia Records, 1909-1939  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARH-0001.xml,ARH-0001.xml,"Harvard Medical Society of New York City Records, 1901-1943","Harvard Medical Society of New York City Records, 1901-1943  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARH-0002.xml,ARH-0002.xml,"Hospital Graduates' Club Records, 1886-1959","Hospital Graduates' Club Records, 1886-1959  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARH-0003.xml,ARH-0003.xml,"Minutes of the Hunterian Society (New York, N.Y.), 1912-1920","Minutes of the Hunterian Society (New York, N.Y.), 1912-1920  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARJ-0001.xml,ARJ-0001.xml,"James IV Association of Surgeons Records, 1960-1996","James IV Association of Surgeons Records, 1960-1996  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARJ-0002.xml,ARJ-0002.xml,"John B. Deaver Surgical Society Membership Book, 1897-1926","John B. Deaver Surgical Society Membership Book, 1897-1926  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARJ-0003.xml,ARJ-0003.xml,"Bertha Johnson Collection, 1848-1956","Bertha Johnson Collection, 1848-1956  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARL-0001.xml,ARL-0001.xml,"Lenox Medical and Surgical Society Minutes, 1885-1910","Lenox Medical and Surgical Society Minutes, 1885-1910  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0001.xml,ARM-0001.xml,"Mary Ware Dennett Case Collection, 1919-1930","Mary Ware Dennett Case Collection, 1919-1930  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0004.xml,ARM-0004.xml,"Charles Henry May Collection, 1883-1944","Charles Henry May Collection, 1883-1944  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0002.xml,ARM-0002.xml,"Medical Association of the Greater City of New York Records, 1899-1936","Medical Association of the Greater City of New York Records, 1899-1936  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0008.xml,ARM-0008.xml,"Meyer M. Melicow Collection, 1927-1983","Meyer M. Melicow Collection, 1927-1983  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0007.xml,ARM-0007.xml,"Metropolitan Medical Society Records, 1892-1968","Metropolitan Medical Society Records, 1892-1968  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARM-0006.xml,ARM-0006.xml,"William J. Morton Papers, 1871-1916","William J. Morton Papers, 1871-1916  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARN-0006.xml,ARN-0006.xml,"New York Academy of Medicine, Salmon Committee on Psychiatry and Mental Hygiene Records, 1931-1988","New York Academy of Medicine, Salmon Committee on Psychiatry and Mental Hygiene Records, 1931-1988  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARN-0003.xml,ARN-0003.xml,"New York Academy of Medicine, Section on Neurology and Psychiatry Records, 1885-1984","New York Academy of Medicine, Section on Neurology and Psychiatry Records, 1885-1984  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARN-0004.xml,ARN-0004.xml,"New York Bronchoscopic Club Minutes and Records, 1927-1971","New York Bronchoscopic Club Minutes and Records, 1927-1971  HTML"
http://www.nyam.org/library/search-collections/archives/finding-aids/ARN-0010.xml,ARN-0010.xml,"New York Laryngological Society Records, 1932-1967","New York Laryngological Society Records, 1932-1967  HTML"
